"SUBJECT"	"SUBJECT_EFFDT"	"SUBJECT_EFF_STATUS"	"SUBJECT_DESCR"	"SUBJECT_DESCRSHORT"	"DEPTID"	"DEPT_DESCRSHORT"	"DEPT_DESCRFORMAL"	"CIP_CODE"	"CIP_DESCR"	"CIP_DESCR254"	"HEGIS_CODE"	"HEGIS_DESCR"	"HEGIS_DESCR60"
"EMBA"	01-JAN-01	"A"	"Executive MBA"	"EMBA"	"380000"	"BUS AD"	"School of Business Administration"	"52.0201"	"Business Administration and Ma"	"Business Administration and Management, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"EMERGMED"	01-JAN-01	"A"	"Emergency Medicine"	"Emerg Med"	"230000"	"Medical Sc"	"Medical School"	"60.0216"	"Emergency Medicine"	"Emergency Medicine"	"60.00"	"MEDICINE"	"MEDICINE"
"ENDODONT"	01-JAN-01	"A"	"Endodontics"	"Endodont"	"390000"	"DENT"	"School Of Dentistry"	"51.0506"	"Endodontics/Endodontology (Cer"	"Endodontics/Endodontology (Cert, MS, PhD)"	"61.00"	"DENTISTRY"	"DENTISTRY"
"ENGCMPTC"	01-JAN-01	"A"	"Eng Comp -Transfer Credit"	"EnglCmpTC"	"000000"	"All Orgs ("	"All Orgs (Org Security Only)"	"45.9999"	"Social Sciences, Other"	"Social Sciences, Other"	"49.03"	"HUMANITIES & SOCIAL SCI"	"HUMANITIES & SOCIAL SCI"
"ENGINSA"	01-JAN-01	"A"	"Engineering Study Abroad"	"EngrStdAb"	"210501"	"EnginStAbd"	"Engineering Study Abroad"	"14.9999"	"Engineering, Other"	"Engineering, Other"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"ENGLISH"	01-JAN-01	"A"	"English Lang & Literature"	"Engl"	"175500"	"ELandL"	"English Language & Literature Dept"	"23.0101"	"English Language and Literatur"	"English Language and Literature, General"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"ENGR"	01-JAN-01	"A"	"Engineering"	"Engr"	"210400"	"Engineerin"	"Engineering Undergraduate Educ"	"14.0101"	"Engineering, General"	"Engineering, General"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"ENS"	01-JAN-01	"A"	"Ensemble"	"Ens"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"ENSCEN"	01-JAN-01	"A"	"Environmental Sciences & Engin"	"Enscen"	"211500"	"ENSCEN"	"Environmental Sciences and Engineering"	"14.1401"	"Environmental/Environmental He"	"Environmental/Environmental Health Engineering"	"09.99"	"ENGINEERING OTHER"	"ENGINEERING OTHER"
"ENTR"	01-JAN-01	"A"	"Entrepreneurship"	"Entrepren"	"210400"	"Engineerin"	"Engineering Undergraduate Educ"	"52.1399"	"Management Sciences and Quanti"	"Management Sciences and Quantitative Methods, Other"	"05.01"	"BUSINESS & COMMERCE- GEN"	"BUSINESS & COMMERCE- GEN"
"ENVIRON"	10-JAN-02	"A"	"Environment"	"Environ"	"173300"	"Environmen"	"Program in the Environment"	"03.0103"	"Environmental Studies"	"Environmental Studies"	"01.99"	"Other, Natural Resources"	"Other, Natural Resources"
"ENVRNSTD"	03-MAY-04	"I"	"Environmental Studies"	"Envrn Std"	"186000"	"RESCO"	"College of L S & A Residential College"	"03.0103"	"Environmental Studies"	"Environmental Studies"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"EPID"	01-JAN-01	"A"	"Epidemiology"	"Epid"	"458000"	"Epidemiolo"	"Epidemiology Department"	"26.1309"	"Epidemiology"	"Epidemiology"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"ES"	01-JAN-01	"A"	"Entrepreneurial Studies"	"Es"	"380000"	"BUS AD"	"School of Business Administration"	"52.0701"	"Entrepreneurship/Entrepreneuri"	"Entrepreneurship/Entrepreneurial Studies"	"05.99"	"Other, Business and Management"	"Other, Business and Management"
"ESENG"	01-JAN-01	"A"	"Energy Systems Engineering"	"En Sys Eng"	"210503"	"Int Sys&De"	"Integrative Systems and Design"	"14.2701"	"Systems Engineering"	"Systems Engineering"	"09.99"	"ENGINEERING OTHER"	"ENGINEERING OTHER"
"EUPHBARI"	01-JAN-01	"A"	"Euphonium-Baritone"	"Euph/Bari"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"EURO"	01-JAN-01	"A"	"European Studies"	"Eur Std"	"195000"	"Center For"	"Center For West European Studi"	"05.0106"	"European Studies/Civilization"	"European Studies/Civilization"	"03.10"	"EUROPEAN STUDIES- GENERL"	"EUROPEAN STUDIES- GENERL"
"EVAL"	29-APR-08	"I"	"Evaluation"	"Evaluat"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.00"	"PUBLIC AFFAIRS UNCLASSFD"	"PUBLIC AFFAIRS UNCLASSFD"
"EVOCPRAC"	01-JAN-01	"A"	"Early Vocal Practice"	"EarVocPra"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.04"	"MUSIC-PERFORM-COMP-THEOR"	"MUSIC-PERFORM-COMP-THEOR"
"FAMCULT"	02-MAY-00	"I"	"American Culture - Flint"	"FAMCULT"	"517500"	"Registrar"	"Registrar's Office"	"05.0102"	"American/United States Studies"	"American/United States Studies/Civilization"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"FAMMED"	01-JAN-01	"A"	"Family Medicine"	"Family Med"	"230000"	"Medical Sc"	"Medical School"	"60.0218"	"Family Medicine"	"Family Medicine"	"60.00"	"MEDICINE"	"MEDICINE"
"FANTHR"	02-MAY-00	"I"	"Anthropology - Flint"	"Anthropolo"	"517500"	"Registrar"	"Registrar's Office"	"45.0201"	"Anthropology"	"Anthropology"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"FBUSAD"	02-MAY-00	"I"	"Business Adminis - Flint"	"FBUSAD"	"517500"	"Registrar"	"Registrar's Office"	"52.9999"	"Business, Management, Marketin"	"Business, Management, Marketing, and Related Support Services, Other"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"FECON"	02-MAY-00	"I"	"Economics - Flint"	"FECON"	"517500"	"Registrar"	"Registrar's Office"	"45.0601"	"Economics, General"	"Economics, General"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"FHLTHC"	02-MAY-00	"I"	"Health Care Admin - Flint"	"FHLTHC"	"517500"	"Registrar"	"Registrar's Office"	"51.0799"	"Health and Medical Administrat"	"Health and Medical Administrative Services, Other"	"12.02"	"HOSPITAL&HEALTH CARE ADM"	"HOSPITAL&HEALTH CARE ADM"
"FILMVID"	01-JAN-01	"A"	"Film and Video Studies"	"FilmVideo"	"191600"	"ScArts&Cul"	"Screen Arts and Cultures"	"50.0601"	"Film/Cinema Studies"	"Film/Cinema Studies"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"FIN"	01-JAN-01	"A"	"Finance"	"Finance"	"380000"	"BUS AD"	"School of Business Administration"	"52.0801"	"Finance, General"	"Finance, General"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"FINENG"	01-JAN-01	"A"	"Financial Engineering Program"	"Fin Eng"	"210503"	"Int Sys&De"	"Integrative Systems and Design"	"14.9999"	"Engineering, Other"	"Engineering, Other"	"09.99"	"ENGINEERING OTHER"	"ENGINEERING OTHER"
"FLUTE"	01-JAN-01	"A"	"Flute"	"Flute"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"FMATH"	02-MAY-00	"I"	"Mathematics - Flint"	"FMATH"	"517500"	"Registrar"	"Registrar's Office"	"27.0101"	"Mathematics, General"	"Mathematics, General"	"17.00"	"MATHEMATICS UNCLASSIFIED"	"MATHEMATICS UNCLASSIFIED"
"FOS"	01-JAN-01	"A"	"Field of Service"	"Fld Serv"	"465000"	"SOC WK"	"School Of Social Work"	"44.9999"	"Public Administration and Soci"	"Public Administration and Social Service Professions, Other"	"21.00"	"PUBLIC AFFAIRS UNCLASSFD"	"PUBLIC AFFAIRS UNCLASSFD"
"FPIANO"	01-JAN-01	"A"	"Fortepiano"	"Fortepian"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0907"	"Piano and Organ"	"Piano and Organ"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"FPUBADM"	02-MAY-00	"I"	"Public Aministration - Flint"	"FPUBADM"	"517500"	"Registrar"	"Registrar's Office"	"44.0401"	"Public Administration"	"Public Administration"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"FRENCH"	01-JAN-01	"A"	"French"	"French"	"186500"	"Romance La"	"Romance Languages Department"	"16.0901"	"French Language and Literature"	"French Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"FRENHORN"	01-JAN-01	"A"	"French Horn"	"Fren Horn"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0903"	"Music Performance, General"	"Music Performance, General"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"FSOC"	02-MAY-00	"I"	"Sociology - Flint"	"FSOC"	"517500"	"Registrar"	"Registrar's Office"	"45.1101"	"Sociology"	"Sociology"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"FSPEECH"	02-MAY-00	"I"	"Speech - Flint"	"FSPEECH"	"517500"	"Registrar"	"Registrar's Office"	"23.1001"	"Speech and Rhetorical Studies"	"Speech and Rhetorical Studies"	"06.99"	"OTHER, COMMUNICATIONS"	"OTHER, COMMUNICATIONS"
"GEOG"	01-JAN-01	"A"	"Geography"	"Geog"	"170000"	"L S & A"	"College of Literature, Science, and the Arts"	"45.0701"	"Geography"	"Geography"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"GEOSCI"	01-JAN-01	"A"	"Geological Sciences"	"Geol Sci"	"177000"	"Earth & En"	"Earth and Environmental Sciences"	"40.0601"	"Geology/Earth Science, General"	"Geology/Earth Science, General"	"19.00"	"PHYSICAL SCI UNCLASSIFD"	"PHYSICAL SCI UNCLASSIFD"
"GERMAN"	01-JAN-01	"A"	"German"	"Ger"	"178000"	"Germanic L"	"Germanic Languages & Lit Dept"	"16.0501"	"German Language and Literature"	"German Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"GREEK"	01-JAN-01	"A"	"Greek"	"Greek"	"174000"	"Classical"	"Classical Studies Department"	"16.1202"	"Ancient/Classical Greek Langua"	"Ancient/Classical Greek Language and Literature"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"GREEKMOD"	01-JAN-01	"A"	"Modern Greek"	"Mod Greek"	"174000"	"Classical"	"Classical Studies Department"	"16.0601"	"Modern Greek Language and Lite"	"Modern Greek Language and Literature"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"GTBOOKS"	01-JAN-01	"A"	"Great Books"	"Gt Books"	"174000"	"Classical"	"Classical Studies Department"	"23.9999"	"English Language and Literatur"	"English Language and Literature/Letters, Other"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
"GUITAR"	01-JAN-01	"A"	"Guitar"	"Guitar"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0911"	"Violin, Viola, Guitar and Othe"	"Violin, Viola, Guitar and Other Stringed Instruments"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"HARP"	01-JAN-01	"A"	"Harp"	"Harp"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0911"	"Violin, Viola, Guitar and Othe"	"Violin, Viola, Guitar and Other Stringed Instruments"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"HARPSCH"	01-JAN-01	"A"	"Harpsichord"	"Harpschrd"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0907"	"Piano and Organ"	"Piano and Organ"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"HB"	29-APR-08	"I"	"Human Behavior"	"Hum Behav"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.00"	"PUBLIC AFFAIRS UNCLASSFD"	"PUBLIC AFFAIRS UNCLASSFD"
"HBEHED"	01-JAN-01	"A"	"Health Behavior & Health Educ"	"H Beh-Ed"	"458300"	"Hlth Beh&H"	"Health Behavior & Health Education Department"	"51.2207"	"Public Health Education and Pr"	"Public Health Education and Promotion"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"HEBREW"	01-JAN-01	"A"	"Hebrew Studies"	"Hebrew"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1102"	"Hebrew Language and Literature"	"Hebrew Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"HF"	01-JAN-01	"A"	"Health and Fitness"	"Hlth & Fit"	"450000"	"KINES"	"School Of Kinesiology"	"31.0501"	"Health and Physical Education,"	"Health and Physical Education, General"	"08.37"	"HEALTH & FAMILY LIFE ED"	"HEALTH & FAMILY LIFE ED"
"HHCR"	01-JAN-01	"A"	"Health & Health Care Research"	"Hlth & HCR"	"239800"	"Int Med-Ge"	"Int Med-General Medicine"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"
"HISTART"	01-JAN-01	"A"	"History of Art"	"Hist Art"	"179500"	"History Of"	"History Of Art Department"	"50.0703"	"Art History, Criticism and Con"	"Art History, Criticism and Conservation"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"HISTORY"	01-JAN-01	"A"	"History"	"Hist"	"179000"	"History De"	"History Department"	"54.0101"	"History, General"	"History, General"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"HJCS"	01-JAN-01	"A"	"Hebrew & Jewish Cultural Stu"	"HJCS"	"183500"	"N East Std"	"Near Eastern Studies Department"	"16.1102"	"Hebrew Language and Literature"	"Hebrew Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"HLTGERON"	01-JAN-01	"A"	"Health Gerontology"	"Hlt Geron"	"455000"	"PUB HL"	"School Of Public Health"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"HLTH"	29-APR-08	"I"	"Health"	"Health"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"12.99"	"OTHER, HEALTH PROFESSIONS"	"OTHER, HEALTH PROFESSIONS"
"HLTSRVMP"	01-JAN-01	"A"	"Health Services Manag & Policy"	"Hlt Srvmp"	"455200"	"Health Man"	"Health Management And Policy"	"51.2201"	"Public Health, General (MPH, D"	"Public Health, General (MPH, DPH)"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"HMP"	01-JAN-01	"A"	"Health Management And Policy"	"HM&P"	"455200"	"Health Man"	"Health Management And Policy"	"51.2211"	"Health Services Administration"	"Health Services Administration"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"HONORS"	01-JAN-01	"A"	"College Honors"	"Honors"	"180000"	"Honors Pro"	"Honors Program"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"49.00"	"INTERDISC UNCLASSIFIED"	"INTERDISC UNCLASSIFIED"
"HOSPAD"	01-JAN-01	"A"	"Hospital Administration"	"Hosp Ad"	"455000"	"PUB HL"	"School Of Public Health"	"51.0701"	"Health/Health Care Administrat"	"Health/Health Care Administration/Management"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"HOSPDENT"	01-JAN-01	"A"	"Hospital Dentistry"	"Hosp Dent"	"390000"	"DENT"	"School Of Dentistry"	"51.0599"	"Advanced/Graduate Dentistry an"	"Advanced/Graduate Dentistry and Oral Sciences, Other"	"61.00"	"DENTISTRY"	"DENTISTRY"
"HOSPPHAR"	01-JAN-01	"A"	"Hospital Pharmacy"	"Hosp Phar"	"445000"	"PHARM"	"College Of Pharmacy"	"51.0701"	"Health/Health Care Administrat"	"Health/Health Care Administration/Management"	"63.00"	"PHARMACY"	"PHARMACY"
"HS"	01-JAN-01	"A"	"Health Sciences"	"Hlth Sc"	"440000"	"NURS"	"School Of Nursing"	"51.0000"	"Health Services/Allied Health/"	"Health Services/Allied Health/Health Sciences, General"	"64.00"	"NURSING (BACCALAURATE&OTHER)"	"NURSING (BACCALAURATE AND OTHER PROGRAMS)"
"HUM"	01-JAN-01	"A"	"Humanities"	"Hum"	"210000"	"ENGIN"	"College Of Engineering"	"24.0103"	"Humanities/Humanistic Studies"	"Humanities/Humanistic Studies"	"15.99"	"OTHER, LETTERS"	"OTHER, LETTERS"
"HUMGEN"	01-JAN-01	"A"	"Human Genetics"	"Hum Gen"	"236000"	"Human Gene"	"Human Genetics Department"	"26.0806"	"Human/Medical Genetics"	"Human/Medical Genetics"	"60.00"	"MEDICINE"	"MEDICINE"
"HUMNNUTR"	01-JAN-01	"A"	"Human Nutrition"	"Humn Nutr"	"455000"	"PUB HL"	"School Of Public Health"	"51.9999"	"Health Professions and Related"	"Health Professions and Related Clinical Sciences, Other"	"62.00"	"PUBLIC HEALTH"	"PUBLIC HEALTH"
"HYGDCC"	01-JAN-01	"A"	"Dent Hyg Deg Complet on campus"	"HYGDCC"	"393500"	"Dental Hyg"	"Dental Hygiene-Dentistry"	"51.0602"	"Dental Hygiene/Hygienist"	"Dental Hygiene/Hygienist"	"61.00"	"DENTISTRY"	"DENTISTRY"
"HYGDCE"	01-JAN-01	"A"	"Dent Hyg Deg Complet E-Learn"	"HYGDCE"	"393500"	"Dental Hyg"	"Dental Hygiene-Dentistry"	"51.0602"	"Dental Hygiene/Hygienist"	"Dental Hygiene/Hygienist"	"61.00"	"DENTISTRY"	"DENTISTRY"
"IB"	01-MAY-01	"I"	"International Business"	"Intl Bus"	"380000"	"BUS AD"	"School of Business Administration"	"52.1101"	"International Business/Trade/C"	"International Business/Trade/Commerce"	"05.00"	"BUSINESS-UNCLASSIFIED"	"BUSINESS-UNCLASSIFIED"
"IMMUNO"	01-JAN-01	"A"	"Immunology"	"Immunology"	"231000"	"Medical Sc"	"Medical School Administration"	"26.0507"	"Immunology"	"Immunology"	"60.00"	"MEDICINE"	"MEDICINE"
"INFLXMED"	01-JAN-01	"A"	"Inteflex Medical School"	"Inflx Med"	"230000"	"Medical Sc"	"Medical School"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"INSTHUM"	01-JAN-01	"A"	"Institute For The Humanities"	"Inst Hum"	"171100"	"Humanities"	"Humanities Institute"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"49.03"	"HUMANITIES & SOCIAL SCI"	"HUMANITIES & SOCIAL SCI"
"INSUR"	01-MAY-01	"I"	"Insurance & Accounting Science"	"INSUR"	"380000"	"BUS AD"	"School of Business Administration"	"52.0201"	"Business Administration and Ma"	"Business Administration and Management, General"	"05.01"	"BUSINESS & COMMERCE- GEN"	"BUSINESS & COMMERCE- GEN"
"INTEFLEX"	01-JAN-01	"A"	"Inteflex"	"Inteflex"	"171800"	"InteflxLSA"	"College of L S & A Inteflex Program"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"04.00"	"BIOLOGICAL SCI UNCLASSFD"	"BIOLOGICAL SCI UNCLASSFD"
"INTERHUM"	01-JAN-01	"A"	"Interdepartmental Humanities"	"Inter-Hum"	"000000"	"All Orgs ("	"All Orgs (Org Security Only)"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"49.03"	"HUMANITIES & SOCIAL SCI"	"HUMANITIES & SOCIAL SCI"
"INTERID"	01-JAN-01	"A"	"Interdepartmental Interdepart"	"Inter-ID"	"000000"	"All Orgs ("	"All Orgs (Org Security Only)"	"24.0199"	"Liberal Arts and Sciences, Gen"	"Liberal Arts and Sciences, General Studies and Humanities, Other"	"49.00"	"INTERDISC UNCLASSIFIED"	"INTERDISC UNCLASSIFIED"
"INTERNS"	01-JAN-01	"A"	"Interdepartmental Nat Sci"	"Inter-NS"	"000000"	"All Orgs ("	"All Orgs (Org Security Only)"	"30.1801"	"Natural Sciences"	"Natural Sciences"	"49.02"	"BIOLOGICAL & PHYSICAL SC"	"BIOLOGICAL & PHYSICAL SC"
"INTERPHA"	01-JAN-01	"A"	"Interphase"	"Intrphase"	"230000"	"Medical Sc"	"Medical School"	"51.1201"	"Medicine (MD)"	"Medicine (MD)"	"60.00"	"MEDICINE"	"MEDICINE"
"INTERSS"	01-JAN-01	"A"	"Interdepartmental Soc Sci"	"Inter-SS"	"000000"	"All Orgs ("	"All Orgs (Org Security Only)"	"45.9999"	"Social Sciences, Other"	"Social Sciences, Other"	"49.03"	"HUMANITIES & SOCIAL SCI"	"HUMANITIES & SOCIAL SCI"
"INTINS"	01-JAN-01	"A"	"International Institute"	"Int Inst"	"170000"	"L S & A"	"College of Literature, Science, and the Arts"	"45.9999"	"Social Sciences, Other"	"Social Sciences, Other"	"22.00"	"SOCIAL SCI UNCLASSIFIED"	"SOCIAL SCI UNCLASSIFIED"
"INTLSTD"	01-JAN-01	"A"	"International Studies"	"Intern Std"	"190000"	"Inter Inst"	"International Institute"	"30.9999"	"Multi-/Interdisciplinary Studi"	"Multi-/Interdisciplinary Studies, Other"	"49.99"	"OTHER, INTERDISCIPLINARY STDYS"	"OTHER, INTERDISCIPLINARY STUDIES"
"INTMED"	01-JAN-01	"A"	"Internal Medicine"	"Int Med"	"237000"	"Internal M"	"Internal Medicine Department"	"60.0228"	"Internal Medicine"	"Internal Medicine"	"60.00"	"MEDICINE"	"MEDICINE"
"INTP"	29-APR-08	"I"	"Interpersonal Practice"	"IntperPrac"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.00"	"PUBLIC AFFAIRS UNCLASSFD"	"PUBLIC AFFAIRS UNCLASSFD"
"INTPERF"	01-JAN-01	"A"	"Interarts Performance"	"IAP"	"373000"	"ART"	"School Of Art And Design"	"50.9999"	"Visual and Performing Arts, Ot"	"Visual and Performing Arts, Oth-er"	"10.99"	"OTHER, FINE AND APPLIED ARTS"	"OTHER, FINE AND APPLIED ARTS"
"IOE"	01-JAN-01	"A"	"Industrial & Operations Engin"	"I&Oe"	"221000"	"Industrial"	"Industrial-Operations Engr Dep"	"14.3501"	"Industrial Engineering"	"Industrial Engineering"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"IP"	02-MAY-00	"I"	"Interpersonal Practice"	"Interpers"	"465000"	"SOC WK"	"School Of Social Work"	"44.0701"	"Social Work"	"Social Work"	"21.04"	"SOCIAL WORK & HELPNG SER"	"SOCIAL WORK & HELPNG SER"
"IRANIAN"	01-JAN-01	"A"	"Iranian Studies"	"Iranian"	"183500"	"N East Std"	"Near Eastern Studies Department"	"05.0108"	"Near and Middle Eastern Studie"	"Near and Middle Eastern Studies"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"ISD"	01-JAN-01	"A"	"Integrative Systems & Design"	"Int Sys&De"	"210503"	"Int Sys&De"	"Integrative Systems and Design"	"14.0101"	"Engineering, General"	"Engineering, General"	"09.00"	"ENGINEERING UNCLASSIFIED"	"ENGINEERING UNCLASSIFIED"
"ITALIAN"	01-JAN-01	"A"	"Italian"	"Ital"	"186500"	"Romance La"	"Romance Languages Department"	"16.0902"	"Italian Language and Literatur"	"Italian Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"JAPANESE"	01-JAN-01	"A"	"Japanese"	"Jpn"	"176000"	"Asian Lang"	"Asian Languages And Cultures"	"16.0302"	"Japanese Language and Literatu"	"Japanese Language and Literature"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"JAZZ"	01-JAN-01	"A"	"Jazz & Improvisational Studies"	"Jazz&Imst"	"420000"	"Music"	"School of Music, Theatre and Dance"	"50.0910"	"Jazz/Jazz Studies"	"Jazz/Jazz Studies"	"10.00"	"FINE ARTS UNCLASSIFIED"	"FINE ARTS UNCLASSIFIED"
"JOURN"	01-JAN-01	"A"	"Journalism"	"Journalism"	"170000"	"L S & A"	"College of Literature, Science, and the Arts"	"09.0401"	"Journalism"	"Journalism"	"06.00"	"COMMUNICATIONS UNCLASSFD"	"COMMUNICATIONS UNCLASSFD"
"JUDAIC"	01-JAN-01	"A"	"Judaic Studies"	"Judaic St"	"179100"	"Judaic Stu"	"Judaic Studies Program"	"38.0206"	"Jewish/ Judaic Studies"	"Jewish/ Judaic Studies"	"11.00"	"FOREIGN LANG UNCLASSIFD"	"FOREIGN LANG UNCLASSIFD"
"KINESLGY"	01-JAN-01	"A"	"Kinesiology"	"KIN"	"450000"	"KINES"	"School Of Kinesiology"	"31.0505"	"Kinesiology and Exercise Scien"	"Kinesiology and Exercise Science"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"KINSTUDY"	01-JAN-01	"A"	"Kinesiology Studies"	"Kin Std"	"450000"	"KINES"	"School Of Kinesiology"	"31.0505"	"Kinesiology and Exercise Scien"	"Kinesiology and Exercise Science"	"08.00"	"EDUCATION UNCLASSIFIED"	"EDUCATION UNCLASSIFIED"
"KOREAN"	01-JAN-01	"A"	"Korean"	"Korean"	"176000"	"Asian Lang"	"Asian Languages And Cultures"	"16.0303"	"Korean Language and Literature"	"Korean Language and Literature"	"11.99"	"OTHER, FOREIGN LANGUAGES"	"OTHER, FOREIGN LANGUAGES"
"LACS"	01-JAN-01	"A"	"Latin Amer & Caribbean Stu"	"LatCar St"	"195100"	"Latin Amer"	"Latin Amer & Carribean Studies"	"05.0134"	"Latin American and Caribbean S"	"Latin American and Caribbean Studies."	"03.08"	"LATIN AMERICAN STUDIES"	"LATIN AMERICAN STUDIES"
"LATIN"	01-JAN-01	"A"	"Latin"	"Latin"	"174000"	"Classical"	"Classical Studies Department"	"16.1203"	"Latin Language and Literature"	"Latin Language and Literature"	"15.00"	"LETTERS UNCLASSIFIED"	"LETTERS UNCLASSIFIED"
